"CODICE EDIFICIO";EDIFICIO;COMUNE;"INDIRIZZO PRINCIPALE";
001-A;Rettorato;Torino;"Via Verdi 8";
002-A;"Palazzo degli Stemmi";Torino;"Via Po 29-31-33-35-37";
004-A;"Palazzo Badini Confalonieri";Torino;"Via Verdi 10";
004-B;"Via Verdi 12";Torino;"Via Verdi 12";
004-C;"Via Verdi 15";Torino;"Via Verdi 15";
005-A;"Via Po 14";Torino;"Via Po 14";
006-A;"Accademia di Medicina";Torino;"Via Po 18";
007-A;"Palazzo Accorsi";Torino;"Via Po 53";
008-A;"Via Po 11";Torino;"Via Po 11";
009-A;"Palazzo Campana";Torino;"Via Carlo Alberto 8, 10";
011-A;"Via Bogino 4";Torino;"Via Bogino 4";
012-A;"Palazzo Reale Mutua";Torino;"Piazza Castello 113";
013-A;"Istituto Alfieri Carrù";Torino;"Via Accademia Albertina 14";
014-A;"Ex Caserma Podgora";Torino;"Via Santa Croce 6 e 8";
015-A;"Palazzo Graneri";Torino;"Via Bogino 9";
015-B;"Palazzo Graneri Dependance";Torino;"Via Bogino 9";
016-A;"Ex-Istituto Margara";Torino;"Via Giolitti 33-35";
016-B;"Ex-Istituto Margara Aula Cortile";Torino;"Via delle Rosine 18";
016-C;"Aula Sacramentine";Torino;"Via Cavour 32";
016-D;"Via delle Rosine 7";Torino;"Via Maria Vittoria 38";
017-A;"Ex Istituto Galvani";Torino;"Via Plana 10";
018-A;"Palazzo Lionello Venturi ed ex Scuole Tecniche San Carlo";Torino;"Via Verdi 25";
019-A;"Via Sant'Ottavio 17/19";Torino;"Via Sant'Ottavio 17";
020-A;"Palazzo Nuovo";Torino;"Via Sant'Ottavio 20";
020-B;"Via Roero di Cortanze 2C";Torino;"Via Roero di Cortanze 2C/2";
021-A;"Palazzetto Aldo Moro";Torino;"Via Sant'Ottavio 12";
021-B;"Via Sant'Ottavio 8";Torino;"Via Sant'Ottavio 8";
022-A;"Ex Vetrerie Berruto";Torino;"Via Giulia di Barolo 3A";
022-B;"Palazzo Gorresio (Ex Istituto Cairoli)";Torino;"Via Giulia di Barolo 3A";
023-A;"Bottega d'Erasmo";Torino;"Via Gaudenzio Ferrari 9";
024-A;"Via Artisti 9";Torino;"Via Artisti 9";
025-A;"Via Bava 31";Torino;"Via Bava 31";
026-A;"Via Sant'Ottavio 50";Torino;"Via Sant'Ottavio 50";
027-A;"Via Sant'Ottavio 54";Torino;"Via Sant'Ottavio 54";
028-A;"C.so San Maurizio 31";Torino;"C.so San Maurizio 31";
028-B;"Corso San Maurizio 31L";Torino;"C.so San Maurizio 31L";
029-A;"Complesso ""Luigi Einaudi""";Torino;"C.so Regina Margherita 60";
030-A;"Ex Manifattura Tabacchi";Torino;"Corso Regio Parco 142";
031-A;"Piazza Albarello, 8";Torino;"Piazza Albarello, 8";
032-A;"Centro Pier della Francesca blocco 1";Torino;"Via Pessinetto 12";
032-B;"Centro Pier della Francesca blocco 2";Torino;"C.so Svizzera 185";
033-A;"Ospedale Oftalmico";Torino;"Via Juvarra, 19";
034-A;"Orto Botanico";Torino;"Viale Mattioli 25";
035-A;"IEN Galileo Ferraris";Torino;"Via Valperga Caluso, 35 e 37";
035-B;"Via Valperga Caluso 33D";Torino;"Via Valperga Caluso 33D";
035-C;"IEN Galileo Ferraris Interno cortile";Torino;"Via Valperga Caluso, 35 e 37";
036-A;"Fisico Vecchio";Torino;"C.so Massimo D'Azeglio, 46";
036-B;"Fisico Nuovo";Torino;"Via Giuria, 1";
037-A;"Via Giuria, 5,7,9,11";Torino;"C.so Raffaello 33";
038-A;"C.so Raffaello, 30";Torino;"C.so Raffaello, 30";
038-B;"Via Buonarroti, 27";Torino;"Via Buonarroti, 27";
039-A;"C.so Massimo D'Azeglio, 52";Torino;"C.so Massimo D'Azeglio, 52";
040-A;"C.so Massimo D'Azeglio, 60";Torino;"C.so Massimo D'Azeglio, 60";
041-A;Biotecnologie;Torino;"Via Nizza, 52";
042-A;"C.so Montevecchio 38";Torino;"C.so Montevecchio 38";
043-A;"C.so Galileo Galilei 20";Torino;"C.so Galileo Galilei 20";
044-A;Lingotto;Torino;"Via Nizza 230";
045-A;"Molinette - Via Genova, 3";Torino;"Via Genova, 3";
045-B;"Molinette - Ospedale San Lazzaro";Torino;"Via Cherasco, 23";
045-C;"Molinette - Via Cherasco, 11";Torino;"Via Cherasco, 11";
045-D;"Molinette - Via Santena 5, bis";Torino;"Via Santena 5, bis";
045-E;"Molinette - Via Santena, 7";Torino;"Via Santena, 7";
045-F;"Molinette - Via Santena, 9";Torino;"Via Santena, 9";
045-G;"Molinette - Via Santena, 19";Torino;"Via Santena, 19";
045-H;"Molinette - C.so Dogliotti, 38";Torino;"C.so Dogliotti, 38";
