"CODICE DELL'EDIFICIO";EDIFICIO;COMUNE;"INDIRIZZO PRINCIPALE";"CODICE DEL PIANO";PIANO;"CODICE DEL LOCALE";LOCALE;NOTE;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0800;Ripostiglio;"magazzino custode";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0810;Ripostiglio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0820;Ripostiglio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0830;"Servizi igienici";CISAL;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0840;Disimpegno;CISAL;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0850;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0860;Ripostiglio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0870;"Servizi igienici";UIL;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0880;Disimpegno;UIL;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0890;Ufficio;UIL;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0900;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0905;Portico;"Porticato di via Po";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0910;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0920;Corridoio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0930;Magazzino;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0940;Magazzino;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0950;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0960;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0970;Magazzino;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0980;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_0990;Magazzino;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1000;Magazzino;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1010;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1011;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1012;"Sala regia";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1013;"Sala registrazione";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1020;Archivio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1030;Ingresso;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1040;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1050;Ripostiglio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1060;Portico;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1070;"Locale vuoto";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1075;"Locale vuoto";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1080;"Locale vuoto";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1090;"Locale vuoto";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1095;;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1100;"Locale Vuoto";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1110;Magazzino;"DSI - magazzino p.t. lato interno";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1111;Magazzino;"DSI - magazzino p.t. lato cortile";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1120;Disimpegno;"Facoltà di Lettere e Filosofia";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1130;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1140;Magazzino;"DSI - magazzino p.t.";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1150;Magazzino;"DSI - magazzino p.t.";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1160;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1170;Corridoio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1180;Magazzino;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1190;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1200;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1210;Corridoio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1211;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1220;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1230;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1240;Ascensore;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1250;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1260;Portineria;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1270;"Servizi igienici";"Divisione Logistica";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1280;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1290;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1300;Sala;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1310;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1320;Sala;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1330;Sala;;
