Nome,Totale
ANTONIO,2544
FRANCESCO,1939
GIUSEPPE,1530
MARIA,1318
ANNA,1289
ANDREA,1223
ALESSANDRO,1108
FRANCESCA,1092
GIOVANNI,1066
ANNA MARIA,1038
LUIGI,992
MARCO,944
SALVATORE,636
STEFANO,630
ROBERTO,629
LUCIA,603
ALESSANDRA,596
RITA,589
CHIARA,576
GABRIELE,566
PAOLA,548
DANIELA,541
VINCENZO,541
GIOVANNA,526
CARMELA,482
LAURA,471
GIULIA,469
MATTEO,457
MARIA ROSARIA,456
VALENTINA,454
MARIO,453
MASSIMO,448
DAVIDE,445
SIMONE,442
DANIELE,438
PAOLO,437
STEFANIA,435
FEDERICA,430
FABIO,426
ANTONELLA,425
SARA,423
MARIA TERESA,418
MAURIZIO,416
ANGELA,414
MICHELE,396
ROBERTA,388
CARLO,382
ANTONIA,377
ELENA,377
LORENZO,375
SIMONA,371
ANGELO,369
GIORGIO,365
ORONZO,363
RAFFAELE,350
PATRIZIA,349
GIUSEPPINA,339
SILVIA,322
COSIMO,318
FEDERICO,318
GIORGIA,314
ROSA,314
ANNA RITA,312
MARCELLO,312
MARIA ANTONIETTA,312
RICCARDO,311
ALESSIA,294
GIUSEPPA,294
SERGIO,294
MARTINA,282
CLAUDIO,270
CONCETTA,264
CATERINA,262
GABRIELLA,262
TERESA,262
ILARIA,260
CARMELO,259
SILVANA,259
PIETRO,252
EMANUELE,251
ADDOLORATA,250
MARTA,247
BARBARA,246
EMANUELA,245
SOFIA,245
MASSIMILIANO,243
CRISTINA,238
VALERIA,237
CLAUDIA,236
TIZIANA,236
ELISABETTA,235
FRANCO,235
ELEONORA,232
MARIA GRAZIA,229
ELISA,226
MAURO,224
SERENA,224
CRISTIAN,222
LOREDANA,222
LUIGIA,220
VITO,220
VINCENZA,219
ROSANNA,218
NICOLA,216
ALBERTO,213
DARIO,208
ANTONIETTA,206
ALESSIO,204
DOMENICO,200
ADRIANA,199
MONICA,199
PASQUALE,197
MARCELLA,196
ROSARIA,192
GIULIO,189
GIACOMO,187
