Anno accademico;COD_Ateneo;Nome_Ateneo;"Statale (si;no)"
2014-2015;00101;Università degli studi di Torino;sì
2014-2015;00102;Politecnico di Torino;sì
2014-2015;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";sì
2014-2015;00401;Università di Scienze Gastronomiche;no
2014-2015;00701;Università della Valle d'Aosta;no
2014-2015;01001;Università degli studi di Genova;sì
2014-2015;01201;"Università ""Carlo Cattaneo"" (LIUC)";no
2014-2015;01202;Università degli studi dell' Insubria;sì
2014-2015;01301;"Università telematica ""e-Campus"" di Novedrate (CO)";no
2014-2015;01501;Università degli studi di Milano;sì
2014-2015;01502;Politecnico di Milano;sì
2014-2015;01503;Università commerciale Luigi Bocconi di Milano;no
2014-2015;01504;"Università Cattolica del ""Sacro Cuore""";no
2014-2015;01505;Libera Università di Lingue e Comunicazione (IULM);no
2014-2015;01508;Libera Università, Vita-Salute San Raffaele di Milano;no
2014-2015;01509;Università degli studi di Milano-Bicocca;sì
2014-2015;01510;Humanitas University;no
2014-2015;01601;Università degli studi di Bergamo;sì
2014-2015;01701;Università degli studi di Brescia;sì
2014-2015;01801;Università degli studi di Pavia;sì
2014-2015;01802;Istituto universitario di studi superiori di Pavia;sì
2014-2015;02101;Libera Università di Bolzano;no
2014-2015;02201;Università degli studi di Trento;sì
2014-2015;02301;Università degli studi di Verona;sì
2014-2015;02701;Università degli studi Ca' Foscari di Venezia;sì
2014-2015;02702;Università Iuav di Venezia;sì
2014-2015;02801;Università degli studi di Padova;sì
2014-2015;03001;Università degli studi di Udine;sì
2014-2015;03201;Università degli studi di Trieste;sì
2014-2015;03202;Scuola internazionale superiore di studi avanzati di Trieste;sì
2014-2015;03401;Università degli studi di Parma;sì
2014-2015;03601;Università degli studi di Modena e Reggio Emilia;sì
2014-2015;03701;Università degli studi di Bologna;sì
2014-2015;03801;Università degli studi di Ferrara;sì
2014-2015;04101;"Università degli studi ""Carlo Bo"" di Urbino";sì
2014-2015;04201;Università Politecnica delle Marche - Ancona;sì
2014-2015;04301;Università degli studi di Macerata;sì
2014-2015;04302;Università degli studi di Camerino;sì
2014-2015;04601;Scuola IMT Alti Studi di Lucca;sì
2014-2015;04801;Università degli studi di Firenze;sì
2014-2015;04803;Istituto Italiano di Scienze Umane di Firenze;sì
2014-2015;04804;"Università telematica ""Italian University line"" di Firenze";no
2014-2015;05001;Università degli studi di Pisa;sì
2014-2015;05002;Scuola normale superiore di Pisa;sì
2014-2015;05003;"Scuola superiore di studi universitari e perfezionamento ""S. Anna"" di Pisa";sì
2014-2015;05201;Università degli studi di Siena;sì
2014-2015;05202;Università per stranieri di Siena;sì
2014-2015;05401;Università degli studi di Perugia;sì
2014-2015;05403;Università per stranieri di Perugia;sì
2014-2015;05601;Università degli Studi della Tuscia;sì
2014-2015;05801;Università degli studi di Roma La Sapienza;sì
2014-2015;05802;Università degli studi di Roma Tor Vergata;sì
2014-2015;05803;Libera Università Maria SS.Assunta - (LUMSA) di Roma;no
2014-2015;05805;Libera Università internazionale degli studi sociali Guido Carli - (LUISS) di Roma;no
2014-2015;05806;"Università degli studi di Roma ""Foro Italico""";sì
2014-2015;05807;Università degli studi Roma Tre;sì
2014-2015;05808;Università Campus Bio-Medico di Roma;no
2014-2015;05809;Università degli Studi Internazionali di Roma – UNINT;no
2014-2015;05810;Università telematica Guglielmo Marconi di Roma;no
2014-2015;05811;Università telematica Unitelma Sapienza di Roma;no
2014-2015;05812;Università Europea di Roma;no
2014-2015;05813;Università telematica internazionale UNINETTUNO di Roma;no
2014-2015;05814;Universitas Mercatorum di Roma;no
2014-2015;05815;Università telematica Niccolò Cusano di Roma;no
2014-2015;05816;"Università telematica ""San Raffaele"" di Roma - già ""UNITEL""";no
2014-2015;05817;Link Campus University di Roma;no
2014-2015;06001;Università degli Studi di Cassino e del Lazio Meridionale;sì
2014-2015;06201;Università degli Studi del Sannio;sì
2014-2015;06202;"Università telematica ""Giustino Fortunato"" di Benevento";no
2014-2015;06301;Università degli studi di Napoli Federico II;sì
2014-2015;06302;Università degli studi di Napoli - Parthenope;sì
2014-2015;06303;Università degli studi L'Orientale di Napoli;sì
2014-2015;06304;Università degli studi Suor Orsola Benincasa di Napoli;no
2014-2015;06306;Seconda Università degli studi di Napoli;sì
2014-2015;06307;"Università telematica ""Pegaso"" di Napoli";no
2014-2015;06501;Università degli studi di Salerno;sì
2014-2015;06601;Università degli studi di L'Aquila;sì
2014-2015;06701;Università degli studi di Teramo;sì
2014-2015;06901;Università degli studi Gabriele D'Annunzio di Chieti e Pescara;sì
2014-2015;06902;"Università telematica non statale ""Leonardo da Vinci"" di Torrevecchia Teatina (CH)";no
2014-2015;07001;Università degli studi del Molise;sì
2014-2015;07101;Università degli studi di Foggia;sì
2014-2015;07201;Università degli studi di Bari;sì
2014-2015;07202;Politecnico di Bari;sì
2014-2015;07203;Libera Università Mediterranea Jean Monnet;no
2014-2015;07501;Università del Salento;sì
2014-2015;07601;Università degli studi della Basilicata;sì
2014-2015;07801;Università della Calabria;sì
2014-2015;07901;Università degli studi di Catanzaro - Magna Grecia;sì
2014-2015;08001;Università degli studi Mediterranea di Reggio Calabria;sì
2014-2015;08003;"Università per stranieri ""Dante Alighieri"" di Reggio Calabria";no
2014-2015;08201;Università degli studi di Palermo;sì
2014-2015;08301;Università degli studi di Messina;sì
2014-2015;08601;"Libera Università della Sicilia Centrale ""KORE"" di Enna";no
2014-2015;08701;Università degli studi di Catania;sì
2014-2015;09001;Università degli studi di Sassari;sì
2014-2015;09201;Università degli studi di Cagliari;sì
2015-2016;00101;Università degli studi di Torino;sì
2015-2016;00102;Politecnico di Torino;sì
2015-2016;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";sì
2015-2016;00401;Università di Scienze Gastronomiche;no
2015-2016;00701;Università della Valle d'Aosta;no
2015-2016;01001;Università degli studi di Genova;sì
2015-2016;01201;"Università ""Carlo Cattaneo"" (LIUC)";no
