"CODICE CORSO DI STUDI";"CORSO DI STUDI";"CODICE TIPOLOGIA";TIPOLOGIA;URL;
006900;"CORSO AGGIUNTIVO PER IL SOSTEGNO";ASP;"Corso Abilitante";;
008501;"BIOLOGIA CELLULARE E MOLECOLARE";LM;"Laurea Magistrale";http://lmbiologia.campusnet.unito.it/do/home.pl/View?doc=LM_BiologiaCellulareMolecolare.html;
008703;FISICA;L;"Laurea triennale (DM270)";http://fisica.campusnet.unito.it/do/home.pl/View?doc=Orientamento/organizzazione_del_corso_di_studi.html;
008208;"BIOLOGIA DELL'AMBIENTE E DEL LAVORO";LS;"Laurea specialistica";www.biologia.unito.it;
070320;"CORSO DI LAUREA IN IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA IN IGIENISTA DENTALE)";LT;"Laurea triennale (DM509)";www.medicina.unito.it;
006207;"PROGRAMMAZIONE E GESTIONE DEI SERVIZI EDUCATIVI E FORMATIVI";LS;"Laurea specialistica";www.sciform.unito.it;
070308;"ORTOTTICA ED ASSISTENZA OFTALMOLOGICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI ORTOTTISTA ED ASSISTENTE DI OFTALMOLOGIA )";LT;"Laurea triennale (DM509)";www.medicina.unito.it;
012310;"LINGUE E LETTERATURE MODERNE";LT;"Laurea triennale (DM509)";;
070315;"TECNICHE DI NEUROFISIOPATOLOGIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI NEUROFISIOPATOLOGIA)";LT;"Laurea triennale (DM509)";www.medicina.unito.it;
102322;"ECONOMIA  E COMMERCIO";LT;"Laurea triennale (DM509)";www.econ.unito.it;
102205;"ECONOMIA E DIRITTO DELL'IMPRESA";LS;"Laurea specialistica";www.econ.unito.it;
009705;"STUDI INTERNAZIONALI, DELLO SVILUPPO E DELLA COOPERAZIONE";L;"Laurea triennale (DM270)";www.scipol.unito.it;
009502;"SCIENZE DEL GOVERNO E DELL'AMMINISTRAZIONE";LM;"Laurea Magistrale";www.scipol.unito.it;
005212;"CULTURE MODERNE COMPARATE";LS;"Laurea specialistica";www.lettere.unito.it;
008201;NEUROBIOLOGIA;LS;"Laurea specialistica";http://biologia.campusnet.unito.it;
008202;"SCIENZE BIOMOLECOLARI";LS;"Laurea specialistica";www.biologia.unito.it;
005306;"COMUNICAZIONE INTERCULTURALE";LT;"Laurea triennale (DM509)";www.lettere.unito.it;
102302;"CONSULENTE ECONOMICO-GIURIDICO D'IMPRESA";LT;"Laurea triennale (DM509)";www.econ.unito.it;
090204;"SCIENZE ASSICURATIVE E ATTUARIALI";LS;"Laurea specialistica";www.econ.unito.it;
001302;"VITICOLTURA E ENOLOGIA";LT;"Laurea triennale (DM509)";www.agraria.unito.it;
009307;"SCIENZE POLITICHE";LT;"Laurea triennale (DM509)";www.scipol.unito.it;
070307;"LOGOPEDIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI LOGOPEDISTA)";LT;"Laurea triennale (DM509)";www.medicina.unito.it;
102306;"ECONOMIA, TERRITORIO E AMBIENTE";LT;"Laurea triennale (DM509)";www.econ.unito.it;
102323;"ECONOMIA E GESTIONE  DEL TURISMO";LT;"Laurea triennale (DM509)";www.econ.unito.it;
009304;"SERVIZIO SOCIALE - CUNEO";LT;"Laurea triennale (DM509)";http://hal9000.cisi.unito.it/wf/FACOLTA/Scienze-Po/Cdl-triennali/Servizio-sociale-CUNEO/index.htm;
008237;"LOGICA COMPUTAZIONALE";LS;"Laurea specialistica";www.scienzemfn.unito.it;
008211;"FISICA DELLE TECNOLOGIE  AVANZATE";LS;"Laurea specialistica";www.ph.unito.it;
005202;"SCIENZE LINGUISTICHE";LS;"Laurea specialistica";www.lettere.unito.it;
055203;"SCIENZE STRATEGICHE E DELLE COMUNICAZIONI";LS;"Laurea specialistica";http://www.scienzestrat.unito.it/;
