cognome,totale
ROSSI,615
MORELLI,468
GIUSTI,462
LENZI,434
BERNINI,392
BACCI,378
FILIPPI,361
MAZZONI,335
BIANCHI,315
RICCI,308
FALLENI,301
PELLEGRINI,296
NERI,290
SALVADORI,282
CECCARINI,281
BERTINI,278
MARTELLI,277
CONTI,265
DOMENICI,258
CANTINI,246
ORSINI,246
GUIDI,239
MANCINI,239
SPAGNOLI,239
LEMMI,238
VOLPI,237
DONATI,234
BALDI,232
BARSOTTI,230
GARZELLI,230
FERRETTI,230
CECCHI,226
NANNIPIERI,219
BIONDI,218
FERRARI,217
MANNUCCI,215
BARTOLI,215
LOMBARDI,214
CASINI,212
GIORGI,209
FRESCHI,207
RUSSO,205
MARTINI,203
MORI,203
LANDI,203
PAGNI,198
BERTI,197
CAVALLINI,196
GORI,192
SILVESTRI,191
PACINI,190
PAOLI,188
BALESTRI,187
VOLIANI,187
PINI,186
MEINI,185
BENEDETTI,182
VIVALDI,181
FRANCESCHI,181
SANTINI,180
ESPOSITO,178
LUCCHESI,178
ROMANO,176
VANNUCCI,172
RAZZAUTI,170
BINI,170
ORLANDI,165
TERRENI,164
BENVENUTI,164
BARDI,162
BARTOLINI,161
MAINARDI,160
MARCHETTI,160
CIONI,160
NARDI,160
BALLERI,159
PAPINI,158
LONZI,157
TADDEI,156
FERRINI,156
BARONTINI,156
BERNARDINI,152
BARBIERI,151
CAROTI,149
DEMI,149
CECCONI,149
MARTINELLI,145
LEONARDI,143
NICCOLAI,143
NIGIOTTI,141
PICCHI,140
BRACCINI,139
GIOVANNETTI,139
GRASSI,138
COSTA,135
SCOTTO,135
STEFANINI,135
PAOLETTI,134
LUSCHI,133
POLI,133
COLOMBINI,133
PARDINI,132
MENICAGLI,132
NOCCHI,132
ROCCHI,132
TOSI,132
GIACOMELLI,131
BIAGI,131
BIAGINI,130
BRONDI,130
BAGNOLI,128
FAVILLI,128
DEL CORONA,127
BARONI,127
MANTOVANI,126
BONSIGNORI,125
CARLESI,125
BANI,124
TURINI,124
FEDI,124
CITI,123
CECCHINI,123
BETTI,122
PRATESI,121
GIANNETTI,120
FERRI,119
GALLI,119
DINI,118
LUBRANO,118
CECCARELLI,118
CANESSA,117
GROSSI,117
FIORINI,117
VITIELLO,116
LUCARELLI,116
MORETTI,116
FABBRI,114
BELLANDI,113
BENDINELLI,113
PUCCI,113
BELLINI,113
VANNI,113
TANI,112
MAZZI,112
MARINAI,111
SAVI,111
SCARDIGLI,110
BALDACCI,110
BRUNO,108
PUCCINI,108
BALDANZI,107
BRILLI,107
RINALDI,107
SARDI,107
LOTTI,107
LOMI,107
ANTONELLI,107
CHIMENTI,106
ROSELLINI,106
SIGNORINI,106
NIERI,105
MARCONI,104
UGHI,104
MATTEUCCI,104
BIZZI,103
CORSI,103
LAMI,103
CAPPELLI,103
MATTEI,103
FRANCHI,102
MARCHI,101
CHELLI,101
ANTONINI,101
CECCHERINI,101
GHEZZANI,100
SIMONETTI,99
LUPI,99
MARINI,98
CERRAI,98
MAZZANTINI,98
CAPPAGLI,98
LEONE,97
BELLI,97
BIASCI,97
IACOPONI,97
DIOP,97
NOVELLI,96
SPINELLI,95
MORINI,95
BARONCINI,95
PAOLINI,94
GIORDANO,94
CAMPANI,93
BARTOLOZZI,93
BONACCORSI,93
CIUCCI,93
DAMIANI,92
GIULIANI,92
GIOLI,92
ULIVIERI,91
GIANNONI,91
SARTI,91
GIARI,91
FANTOZZI,90
MAZZA,90
GIACHETTI,90
AGOSTINI,89
PELAGATTI,89
NORFINI,89
LAZZERINI,89
BENETTI,88
TOCCHINI,88
SIMONCINI,88
MANETTI,88
PAPPALARDO,88
PIERI,88
GALLO,87
ORLANDINI,87
LAZZERI,86
RISALITI,86
MARINARI,86
BATTINI,86
GRECO,86
MARIOTTI,85
CASALI,85
SARDELLI,85
MAFFEI,85
BALDINI,84
PERINI,84
LORENZINI,84
GRIECO,84
PACHETTI,84
GHELARDI,84
BONI,83
PANNOCCHIA,83
FIORENTINI,83
VALENTI,83
MARINO,83
MALTINTI,83
LUNARDI,82
MARRUCCI,82
COSTANZO,82
GELLI,82
BIENTINESI,82
BITOSSI,82
SIMONINI,82
NICCOLINI,82
QUERCIOLI,81
SIMONI,81
POLESE,81
MELANI,81
GUERRIERI,81
CHIRICI,81
PORCIANI,81
GIOVANNELLI,80
BRUNI,80
MASI,80
SENESI,80
BAGGIANI,80
SERRA,79
SABATINI,79
PENCO,79
BUSONI,79
CONTINI,79
COPPOLA,79
BOLDRINI,79
CAMICI,78
SALVINI,78
PETRACCHI,78
DANTI,77
TORRI,77
NDIAYE,77
BANDINI,76
PERSICO,76
MONTAGNANI,76
MENICUCCI,75
GENNARI,75
GAMBINI,75
FORNACIARI,75
GRADASSI,75
BROGI,75
BRACCI,75
BOTTONI,74
CASTELLANI,74
COLOMBI,74
PAMPANA,74
BONOMO,73
DEL RIO,73
TOZZI,73
BARDINI,73
GUERRINI,73
INNOCENTI,73
MARIANI,72
TEDESCHI,72
CATARSI,72
BOLOGNESI,72
PALUMBO,71
MASINI,71
CINI,71
CIAMPI,71
RICCIARDI,71
